Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2020-10-08,Lovely Molly,2011,https://boxd.it/1oo82L,3.5,,"I liked a lot about this movie, I just think it confused “messy” with “ambiguous”

Also, I do not envy Eduardo Sánchez... everything he makes will be in Blair Witch’s shadow",found footage,2020-10-07
2020-10-09,WNUF Halloween Special,2013,https://boxd.it/1osV1b,2,,"While I appreciate the dedication to realism by loading it up with commercials (at least half of the runtime...), it’s exhausting trying to determine which are just jokes and which are clues/plot pieces (spoiler alert: they’re all jokes). For a version of this that works, see 1992’s Ghostwatch",found footage,2020-10-08
2020-10-09,Time Trap,2017,https://boxd.it/1oubkZ,3.5,,"It doesn’t make a whole lot of sense when you think about it, but time travel movies rarely do. Blame it on the quarantine, but I had fun",,2020-10-08
2020-10-10,Belzebuth,2017,https://boxd.it/1ozu0T,1.5,,"A couple of tweaks and this could be a Sam Raimi-style horror/camp fest. Unfortunately, it fills itself with school shootings, suicide bombings, and police procedural cliches: melodrama with no sense of self-awareness",,2020-10-09
2020-10-13,The Masque of the Red Death,1964,https://boxd.it/1oVxhH,3,,"Makes Satanism seem as stuffy and benign as any other royal pageantry, but Vincent Price is always captivating","1001 movies, gothic horror, devil worship",2020-10-12
2020-10-14,Blood Quantum,2019,https://boxd.it/1p1mBD,3,,One of the best ideas for a zombie movie I’ve seen in a long time,,2020-10-12
2020-10-15,Patrick,1978,https://boxd.it/1p86fb,4,,"In which several men mansplain the mysteries of the brain using fruit and frogs, and a psychotic telekinetic motivates murder with the poetry of Oscar Wilde","ozploitation, Slasher",2020-10-14
2020-10-15,The Heat,2013,https://boxd.it/1p8Bt9,1,,There are some good songs in the soundtrack,,2020-10-14
2020-10-15,Funny Games,1997,https://boxd.it/1p9UOn,5,Yes,"They wear white gloves because they’re cartoon characters, like Tom and Jerry","caffie, home invasion",2020-10-14
2020-10-16,The Mortuary Collection,2019,https://boxd.it/1pdg6N,4,,This collection finds the perfect balance of meta-self-awareness without distancing itself from telling fun and gruesome stories,horror anthology,2020-10-15
2020-10-16,Satan's Slaves,2017,https://boxd.it/1pebuR,4,,"Sound design, cinematography, story, spooks: this movie knows exactly what it’s doing and it does it well. Some of the scare setups don’t work as well as others (one in particular almost took me out of the movie), but it’s still one of the better ghost movies I’ve seen",,2020-10-15
2020-10-17,Are We Not Cats,2016,https://boxd.it/1pkdlz,2.5,,"If you turned Garden State inside out — complete with its manic pixie dream girl, fetishization of mental illness, and ennui as a personality trait — you’d get something approximating this: threadbare, stuffing exposed, but still just as empty

That said, it’s weird and gross, so I liked it more than I probably should",,2020-10-16
2020-10-21,Metamorphosis,2019,https://boxd.it/1pLTNT,,,I don’t usually give up on movies but this one really challenged my patience... I’ll try again in the future,,2020-10-19
2020-10-22,Host,2020,https://boxd.it/1pSPfH,2.5,,"Ignore the logic of why they point their laptop and phone cameras at shit, I guess... I mostly like it, against my better judgement","found footage, home invasion",2020-10-21
2020-10-23,Carrie,1976,https://boxd.it/1pYN3r,4,Yes,"* the St. Sebastian statue with glowing eyes that mirrors her mother’s death
* the way the thunder rolls when her mother says “prom??”
* the lighting of the dinner table with the Last Supper tapestry, so that it looks they’re sitting at the table with the disciples

Sissy Spacek is perfect in this movie, I cry for her every time","teensploitation, coming-of-age, former criterion, good for her, house of psychotic women, 1001 movies, switchblade sisters",2020-10-22
2020-10-24,32 Malasana Street,2020,https://boxd.it/1q4WNb,2,,Disability Superpower is uncomfortably applied and the movie has an anti-trans climax that is so poorly handled (like it takes dead-naming the spirit to get her to stop) that it ruins what was an otherwise well-crafted movie,,2020-10-23
2020-10-24,Haunt,2019,https://boxd.it/1q8Na3,2.5,,"I had fun, but this movie is a mess",,2020-10-23
2020-10-24,Hack-O-Lantern,1988,https://boxd.it/1q9L5d,1.5,,"It gets points for the variety show aspects that don’t fit at all: the random music video, terrible stand up, belly dancing... otherwise this movie is more a novelty than anything",Slasher,2020-10-23
2020-10-27,Impetigore,2019,https://boxd.it/1quzrD,3.5,,"I have to imagine that slitting your own throat hurts a fuck ton, but these folks make it look like taking a big pill",,2020-10-26
2020-10-28,The Wailing,2016,https://boxd.it/1qCqvR,4,,I will only say this: It’s always nice to see a movie whose twists are motivated and justified within the plot and not there just to shock or surprise,,2020-10-27
2020-10-29,Tales of Halloween,2015,https://boxd.it/1qI90J,2,,"It seems to be a common problem with most anthologies: there’s maybe one good story, and bunch of awful ones. With 10 stories, there’s 3 that I kind of like:

- The Weak and the Wicked
- Grim Grinning Ghost
- Bad Seed (this one I actually like quite a bit)

Thankfully, the stories are all very short, so it’s an easier-going experience than 4- or 5- story anthologies that can feel like an eternity",horror anthology,2020-10-28
2020-10-29,The Vampire Lovers,1970,https://boxd.it/1qIxzX,3,,Horny vampire flick with wild visuals for the dream sequences. Full of crusty men with furrowed brows and wispy women in sheer gowns; the movie is sometimes dull but it manages to stick the landing,"vampires, britsploitation",2020-10-28
2020-10-29,Poltergeist,1982,https://boxd.it/1qK5SV,4,,Steven Spielberg wouldn’t put a dude ripping his own face off in a movie,"haunted house, 1001 movies, frightfest guide to ghost movies, killer toy",2020-10-28
2020-10-30,Strange Behavior,1981,https://boxd.it/1qOoyj,3.5,,"It’s not high art, the plotting is a little clunky (especially towards the end) but the Tangerine Dream soundtrack is great and there are several charming performances","ozploitation, slasher, Video Nasties",2020-10-29
2020-10-30,A Creepshow Animated Special,2020,https://boxd.it/1qP0Gb,1,,"“Part of me wants to leave, but the rest of me is watching this unfold like a car wreck I can’t unsee” - teen girl tweeting during a zombie circus / me watching this movie",,2020-10-29
2020-10-31,Tammy and the T-Rex,1994,https://boxd.it/1qUxwt,2.5,,"A surprisingly twisted six-fi comedy that’s not afraid to be absurd and doesn’t seem to care about the logic of... well, any of it

This movie would’ve aged better without the bigot pervert cop characters and the gross teenage striptease at the end",brainsploitation,2020-10-29
2020-11-01,Blade,1998,https://boxd.it/1r5Wd9,2.5,Yes,"This movie is BLUE 

Like a lot of action movies, they regularly sacrifice their own internal logic for the sake of big set pieces. There’s at least 30 minutes that could be cut, most of it exposition or redundant dialogue that does nothing to develop the plot

But Wesley Snipes is solid, Deacon Frost has good villain charisma despite having a terrible haircut","Superhero, vampires",2020-10-31
2020-11-01,Blade II,2002,https://boxd.it/1r78fN,3,Yes,"So much more fun than Blade, but Del Toro supplements character with costuming and elaborate sets. And it’s still too long. And it’s hard to figure out why any of it happens","vampires, superhero",2020-10-31
2020-11-05,May the Devil Take You,2018,https://boxd.it/1rxGcb,2.5,,"This movie is fun... sometimes. It tries to have these character moments throughout without really building them off of anything. Like the main character misses her mom and spends a ton of time thinking about her, but it never coalesces with the plot or reveals anything, it’s just there. If you cut that out, you’ve still got 85-90 minutes of pretty outrageous horror",,2020-11-04
2020-11-08,Urban Legend,1998,https://boxd.it/1rRA7f,2,,"Tries to apply the Scream formula to urban legends, but neither the cast nor the script are up to the task. Still, a fun easy watch",,2020-11-05
2020-11-18,The Beyond,1981,https://boxd.it/1sSsRF,3.5,,Absolute nonsense and totally fun,Video Nasties,2020-11-17
2020-11-22,The Craft,1996,https://boxd.it/1teYVt,3.5,,"The third act really blows up a lot of what it builds, but there’s still a lot to love, including the main cast and the ridiculous soundtrack of covers (and a really good Portishead song)","witchcraft, good for her, folk horror: a study, switchblade sisters, coming-of-age",2020-11-21
2020-11-25,28 Days Later,2002,https://boxd.it/1txH4Z,3.5,,"The first two thirds are incredible and pulled me in in a way I didn’t think it would. Once the military get involved, it loses some momentum. The climax, in which Jim the bike courier outwits and kills an entire military squadron, took me completely out of it. It’s not a failure, it’s just a shame they couldn’t do something that better matched the tone and attention the earlier bits did",Zombies,2020-11-24
2020-11-27,Happiest Season,2020,https://boxd.it/1tNa9z,3,,"An inconsistent script made delightful and engaging by an incredible cast, even if it clumsily arrives at its cheery ending. This movie could also be either cathartic or triggering, depending on how you feel about yet. another. closeted queer story",,2020-11-26
2020-11-30,Black Sunday,1960,https://boxd.it/1u9pIj,4,,"Incredible atmosphere, beautiful lighting and sets (that fireplace with the dragon and grotesques? So insane and gothic)","folk horror: a study, italian gothic, 1001 movies, gothic horror",2020-11-29
2020-12-09,Blood Beat,1983,https://boxd.it/1v8c8z,3.5,,"The only psychic Christmas samurai movie I know of, and therefore the best one. It takes awhile to get started, but once it does it just gets more and more bonkers. Highly recommended WTF movie",Slasher,2020-12-08
2020-12-09,Rare Exports: A Christmas Tale,2010,https://boxd.it/1v93eP,2,,"While yet another iteration of “what if Santa was actually a bad guy?”, this one deals with Santa as an entity that has been locked away only to be uncovered by miners

They never actually deal with Santa and they somehow figure out how to sell Santa’s elves for profit by training them to be nice and exporting them (hence the title)

The music is constantly whimsical and inspiring, despite nothing going on

It’s a solid build up to a terrible ending",christmasploitation,2020-12-08
2020-12-09,Shock,1977,https://boxd.it/1vbgY1,3.5,,"The kid is a fucking weirdo who does a good job of playing something between Oedipal and outright murderous: strong Babadook kid vibes

This movie has some great, outrageous ideas: the switchblade in between the piano keys, the floating diseased hand with the box cutter, the swing set voodoo that nearly crashed a plane, the kid running up to his mother and instantly transforming into his father... I could go on

There’s also a lot of dull moments, but they’re worth tolerating for the tense conclusion",,2020-12-08
2020-12-11,Body,2015,https://boxd.it/1vnw69,3,,"This movie stressed me out. Mel, you have terrible friends!",coming-of-age,2020-12-10
2020-12-12,Black Sabbath,1963,https://boxd.it/1vreSH,3.5,,"The middle story is a tad tedious, but the visuals throughout are stunning","giallo, horror anthology",2020-12-11
2021-01-10,Let's Go Crazy,1951,https://boxd.it/1zKbPJ,2,,"Peter Sellers do some sort of funny characters, some boring musical performances, some solid pratfalls",,2021-01-09
2021-01-13,Yeelen,1987,https://boxd.it/1Acwnd,3,,"Warning: at the very beginning, there is live animal immolation...",,2021-01-11
2021-01-15,"White Out, Black In",2014,https://boxd.it/1AzcTJ,3.5,,"You can draw a straight line between this and The Last Angel of History: an entity comes from the future to take real events and construct a new future from the narratives of the past. This is far more subdued, resembling the minimal style of many contemporary documentaries — so much so that I found it hard to follow for a good part of the film, but it all comes together in the end",,2021-01-14
2021-02-01,Dial Code Santa Claus,1989,https://boxd.it/1D6RQv,3,,"Hearing Bonnie Tyler’s terrible “Merry Christmas” song while a kid dressed as Rambo tends to a knife wound inflicted by a pedophilic Santa impersonator, hiding in the attic of his 100-room mansion.. this is an experience I don’t think I’ll have with any other movie","christmasploitation, Slasher",2021-01-31
2021-02-13,The Beast Must Die,1974,https://boxd.it/1ELb6L,3,,One night ultimate werewolf,"shudder, britsploitation, werewolves",2021-02-12
2021-02-19,The Other Side of the Wind,2018,https://boxd.it/1FDqsb,4.5,,"Movies and friendship, that’s the mystery. What if the truth isn’t that impressive, that’s our secret. Who knows, maybe you can stare too hard at something, huh?",,2021-02-18
2021-02-19,The Ninth Configuration,1980,https://boxd.it/1FF2u7,3,,"By every definition a bad movie, but it’s so absurd and incoherent that I enjoyed parts of it. The last half hour is a slog, and there’s some really racist shit throughout, so it’s “awesomely bad (some restrictions apply)”",namsploitation,2021-02-18
2021-02-25,Supa Modo,2018,https://boxd.it/1Guweb,3.5,,"Stories about dying children are always going to feel exploitative to me. That said, this movie threads that needle fairly well. The DIY aesthetic of the movie-in-a-movie, along with the depiction of a village coming together, feels like a more earnest and authentic “Be Kind, Rewind”

In a pre-COVID viewing, this may have struck me differently. But alone in my house, believing in community and a dash of magic is what I needed",,2021-02-23
2021-02-25,T,2019,https://boxd.it/1GuAjJ,4.5,,"“When everybody comes and tells you ‘things are gonna be alright’... I try to fill up the hole, but you can’t fill up the hole in your heart, it can’t never fill up”",,2021-02-24
2021-02-27,Judas and the Black Messiah,2021,https://boxd.it/1GNqsT,4,,"Please let this be the first thing you learn about Fred Hampton, not the last",caffie,2021-02-26
2021-03-13,Shook,2021,https://boxd.it/1IDnAj,1.5,,"The writing is not very subtle or cohesive. “Everyone online is fake” and all that. It also vilifies mental illness more than anything I’ve seen in a good bit

There’s some inventive integration of what’s on their screen or in the character’s head with the environment, but is not enough to make this worth watching",,2021-03-12
2021-03-14,A Bay of Blood,1971,https://boxd.it/1ILJNb,3,,"If Scooby-Doo has taught me anything, it’s that real estate brings out the worst in people","giallo, slasher, Video Nasties",2021-03-13
2021-03-17,Kuso,2017,https://boxd.it/1JbH9v,,,Dude I don’t know,,2021-03-14
2021-03-21,Slaxx,2020,https://boxd.it/1JJ6Wt,3.5,,No ethical consumption under late capitalism,,2021-03-20
2021-03-24,Shakma,1990,https://boxd.it/1K9wn7,2.5,,"The plot had the rigid construction of a railroad-y D&D campaign, to the point where there are fairly dull stretches as it tries to get its characters in the right locations for the right set pieces to unfold

It has some solid character beats and some okay gore. If it were 20-30 minutes shorter, it would have real “good bad movie with friends” potential

**spoilers below**

The fact that the lead guy doesn’t try to bring back one of the love interests with the same serum that made the baboon super strong is a real missed opportunity",nature attacks,2021-03-23
2021-04-04,Promising Young Woman,2020,https://boxd.it/1LICIf,3,,"If you can watch it as the story of an addict instead of a morality play, you’ll get more mileage out of it

***spoiler***

Alternate movie message: “no good men... except cops 😏”",caffie,2021-04-03
2021-04-11,Sound of Metal,2019,https://boxd.it/1MJQI5,4,,"I’m always a sucker for small movies about hurt people. It really walks a line with being right in that Oscar bait territory: namely, a movie about addiction and a movie about a person with disabilities. And while it engages some of those cliches, it is still able to find a path that feels organic and earned",caffie,2021-04-10
2021-04-14,Behind the Mask: The Rise of Leslie Vernon,2006,https://boxd.it/1NbZR7,4,,A great example of how to do genre mashup: you don’t win any points by trying to outsmart your audience; you do it by knowing the conventions of each genre so that you can allow them to play off of each other and develop themes that only their collaboration can yield,found footage,2021-04-13
2021-04-16,Nightcrawler,2014,https://boxd.it/1NtiRJ,4.5,Yes,"This movie puts me on edge like few movies can

I love how it builds, and how effortless and organic the action/driving sequences feel in the context of the story

Riz Ahmed continuing his trend of making me cry, Jake Gyllenhaal of making the buggiest eyes he can

There are some moments near the end that I think are too on the nose, but they don’t ruin the movie for me",caffie,2021-04-14
2021-04-19,Game of Death,2017,https://boxd.it/1NSfpR,2,,"A lot of style, some well done effects, but a terrible script focusing more on “edginess” than characters, which backfires when the movie tries to be earnest towards the end

Alternate review... Jumanji: School Shooter Edition",,2021-04-18
2021-04-28,The Astrologer,1976,https://boxd.it/1PcwDb,,,"Another awesomely bad late night film a la The Room or Fateful Findings, except with the budget for an actual cinematographer, a number of exotic settings, and halfway decent score and soundtrack

It starts off kind of slow and goofy but it really ramps up the insanity by the end, highly recommended",,2021-04-27
2021-04-30,Mother's Day,1980,https://boxd.it/1Pqx7X,3,,"Moms, am I right?","hicksploitation, slasher, frightfest guide to exploitation movies, special day horror, home invasion",2021-04-29
2021-04-30,The House by the Cemetery,1981,https://boxd.it/1PsItT,3.5,Yes,"This is my least favorite of the Gates of Hell trilogy… it still has some bizarre plot points and visuals, but it never rises to the full insanity of his earlier films","slasher, Video Nasties",2021-04-29
2021-05-01,Dick Tracy,1990,https://boxd.it/1Pzzop,3,,"A bunch of noir cliches melted into a parade of color and contorted flesh, barely held together by but a whisper of a plot

This movie learned all the wrong lessons from Batman (1989), then Hook (1991) learned all the wrong lessons from this",,2021-04-30
2021-05-12,13 Ghosts,1960,https://boxd.it/1R6ot9,3,,Back door pilot for Death Bed: The Bed that Eats People,,2021-05-11
2021-05-16,The Ranger,2018,https://boxd.it/1RBD4P,2.5,,"This movie works on paper, but the use of color, the flat cinematography, and way too much time given to the ranger’s rantings — these things do little to enhance or subvert the tropes at play",Punk,2021-05-15
2021-05-30,Class of 1984,1982,https://boxd.it/1TssoT,3,,I’m glad the movie established the gang as nazi punks so that they didn’t give other punks a bad name,"canuxploitation, post-apocalypse, scifiploitation, teensploitation, gangs, punk, frightfest guide to exploitation movies, coming-of-age",2021-05-29
2021-06-01,Fried Barry,2020,https://boxd.it/1TLAMd,1.5,,An aimless mishmash of Under the Skin and Enter the Void that cannot decide whether it’s a raunchy comedy or a parable about the second coming of christ,,2021-05-31
2021-06-06,Train to Busan,2016,https://boxd.it/1UqDEX,2.5,,I appreciate the zombies quieting down for all of the monologues about selfishness or sacrifice or whatever,,2021-06-05
2021-06-12,Spookies,1986,https://boxd.it/1Vf5X9,3.5,,"I’m convinced this an “Axe-Cop” scenario, where adults directed a movie written by a twelve-year-old",Slasher,2021-06-10
2021-06-13,Sledgehammer,1983,https://boxd.it/1VjYGv,3,,This is where Wes Anderson got the idea to use the slowest slow-mo conceivable for absolutely everything,Slasher,2021-06-12
2021-06-18,Evilspeak,1981,https://boxd.it/1VXd45,3.5,,"What if Carrie got her powers from an Apple II possessed by an excommunicated 16th century monk who made a pact with Satan?


Always happy to watch a movie whose soundtrack is principally people chanting “Satanus” to (ominous synths)","slasher, video nasties, devil worship",2021-06-17
2021-06-25,Maniac Cop,1988,https://boxd.it/1WQBfL,3.5,,"* Glad to see Bruce Campbell and Sam Raimi working together, however tangentially
* Love how many original songs David Carradine supplied
* I do wonder if this is a Poltergeist scenario, where Lustig got to put his name on something Larry Cohen directed",Slasher,2021-06-24
2021-07-02,Trouble Every Day,2001,https://boxd.it/1XInqj,3,,"I felt genuine dread and disgust watching this, so I guess it did what it intended to. That said, I don’t want some of these images in my head, so I kind of regret watching it",,2021-06-30
2021-07-04,Humanoids from the Deep,1980,https://boxd.it/1Y1EVB,3.5,,We haven’t given “seduction by ventriloquism” enough chances in movies,,2021-07-03
2021-07-05,The Amusement Park,1975,https://boxd.it/1YaZIr,4,,"Getting old, and losing control of my physical and mental faculties are big fears for me. This does a good job of reminding me that the future has nothing to hope for or look forward to",,2021-07-04
2021-07-12,Kiki's Delivery Service,1989,https://boxd.it/1Zf0Xp,5,,"Kiki not being able to talk to Jiji anymore, even after she finds her magic, is so subtle and devastating. As we get older, we sometimes lose the language to communicate with our oldest friends, but that doesn’t mean the friendship has to end, just that it will be something different","anime, coming-of-age, good for her",2021-07-11
2021-07-15,Maniac Cop 2,1990,https://boxd.it/1ZIkbD,3.5,,Maniac Cop Rap,Slasher,2021-07-14
2021-07-17,Clockwatchers,1997,https://boxd.it/1ZXqOL,4,,"The narration really drags this down, but it’s still full of amazing performances and beautiful little moments",,2021-07-16
2021-07-17,24 Hours in the Life of a Clown,1946,https://boxd.it/1ZXQxL,3.5,,"Some good dogs, particularly Swing",,2021-07-16
2021-07-17,"Acera, or the Witches' Dance",1972,https://boxd.it/1ZXYuZ,4,,Waiting for Oneohtrix Point Never to do their own soundtrack for this,,2021-07-16
2021-07-20,The Long Goodbye,1973,https://boxd.it/20sHTZ,4,,He’s pretty good at playing that tiny harmonica,,2021-07-19
2021-07-20,Journey to the Beginning of Time,1955,https://boxd.it/20ujEl,3,,"The story is a little dull, but the animal animations are cool",Scifiploitation,2021-07-19
2021-07-21,Multiple Maniacs,1970,https://boxd.it/20BPEL,3.5,,"“I love you so fucking much, I could shit”",,2021-07-20
2021-07-22,The Fabulous World of Jules Verne,1958,https://boxd.it/20J6fn,4,,"My jaw literally dropped during the opening sequence. Just an incredible visual achievement, full of sight gags and flourishes from start to finish",,2021-07-21
2021-07-22,Old,2021,https://boxd.it/20NTPH,3,,"What can I say? Fear of getting old, some good disturbing moments. Glad I saw it for free, wish I didn’t see it on the front row of a Dolby Cinema screen",caffie,2021-07-21
2021-07-23,Pink Flamingos,1972,https://boxd.it/20TiZR,3.5,,“Kill everyone now. Condone first-degree murder. Advocate cannibalism. Eat shit. Filth are my politics. Filth is my life.”,"extreme, Unsimulated Sex",2021-07-22
2021-07-24,Female Trouble,1974,https://boxd.it/212vY1,4,,I’m giving at least one half-star to this movie for all of the beautiful Baltimore accents,,2021-07-23
2021-07-26,Mondo Topless,1966,https://boxd.it/21ixLF,,,"Having seen no other movies in the <i>mondo</i>-verse, I can still safely say that this one is the best","mondo, Sexploitation",2021-07-25
2021-07-26,Sorority House Massacre,1986,https://boxd.it/21lkGX,2.5,,"A slasher that insists on making all of the subtext text, without having anything else to say","slasher, Teensploitation",2021-07-25
2021-07-27,Night Moves,1975,https://boxd.it/21Beb7,4,,Working on my night chess,,2021-07-26
2021-07-28,Watership Down,1978,https://boxd.it/21CQs3,3.5,,"The character of Fiver is based on my cat Gnocchi, who I presume also has visions of fields drenched in blood, the way he screams and tears throughout the house",britsploitation,2021-07-27
2021-07-29,Casque d'Or,1952,https://boxd.it/21KCZ9,3.5,,"Listen fellas, if you’re engaged to be married and you meet a woman you’re interested in, just murder her gang member boyfriend and go on the run. It may not look like it, but this is rOmAnCe",,2021-07-28
2021-07-29,"Farewell, My Lovely",1975,https://boxd.it/21LPGV,3,,"Raymond Chandler fans get exactly what they want. Movie fans get Robert Mitchum playing the role he was born to play, but not much else",,2021-07-28
2021-07-30,Police Story,1985,https://boxd.it/21U1qV,4.5,,"I love the fight sequence in the mall where the bystanders keep groaning at all of the painful-looking falls. And to be fair, it looks like they used real glass, so I’m sure several of them did hurt",chopsocky,2021-07-29
2021-07-30,Body Bags,1993,https://boxd.it/21V4Y9,3.5,,I love John Carpenter doing his own rendition of the crypt keeper. I love Stacey Keach with long hair. I fucking hate Mark Hamill with a mustache and a southern accent,"slasher, horror anthology",2021-07-29
2021-08-04,Son of the White Mare,1981,https://boxd.it/22DjEL,4,,Samurai Jack,,2021-08-03
2021-08-08,Teddy,2020,https://boxd.it/23e5xv,3.5,,"Does a good job of playing between werewolf and coming-of-age troupes without feeling derivative. Definitely owes a lot to movies like Trouble Every Day and Raw, but is not a ripoff of either",,2021-08-07
2021-08-08,Moving,2019,https://boxd.it/23f8Nj,4,,"Mattresses are the worst thing to move after washing machines, I felt this",,2021-08-07
2021-08-08,Hella Trees,2020,https://boxd.it/23fk6B,5,,"I remember being in art school and finding obsessions. There’s always a fear of being perceived as naive or undereducated about a subject since “it’s all been done before” or whatever. But when you can just let yourself go and lose that fear a bit, it can feel vital and freeing, like I don’t have to think about what I’m going to make for a bit, it’s just going to focus on this

Anyway, I feel like this short captured that feeling pretty perfectly",,2021-08-07
2021-08-11,The Plague Dogs,1982,https://boxd.it/23GBsN,3.5,,Rosen saw people saying Watership Down is bleak and said “hold my beer”,britsploitation,2021-08-09
